Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
LAL,28.1,15.0,4.0,0.789,12,7,106.4,102.3,4.1,91.5,0.349,0.22399999999999998,0.527,0.48200000000000004,12.9,29.1,0.252,0.455,12.1,72.9,0.231,False
SAS,28.3,4.0,6.0,0.4,6,4,106.2,102.7,3.5,85.8,0.349,0.193,0.518,0.465,11.2,26.6,0.266,0.466,11.4,72.4,0.175,False
BOS,27.1,9.0,7.0,0.563,10,6,101.5,98.4,3.1,89.9,0.292,0.292,0.515,0.469,13.8,25.0,0.226,0.45,14.3,75.1,0.253,False
SAC,27.2,10.0,6.0,0.625,9,7,106.3,103.9,2.4,93.9,0.363,0.196,0.529,0.478,13.4,29.4,0.26899999999999996,0.46,12.9,69.6,0.222,False
DAL,26.5,4.0,4.0,0.5,4,4,111.7,111.4,0.3,96.4,0.287,0.251,0.55,0.499,11.2,24.2,0.24,0.493,12.9,67.6,0.28800000000000003,False
IND,26.1,2.0,3.0,0.4,3,2,97.1,96.9,0.2,90.6,0.297,0.155,0.5329999999999999,0.489,17.5,21.5,0.226,0.44799999999999995,13.7,75.8,0.205,False
CHO,28.7,4.0,5.0,0.444,4,4,103.9,103.9,0.0,90.4,0.39899999999999997,0.151,0.505,0.449,13.4,33.2,0.289,0.45399999999999996,12.4,73.4,0.29100000000000004,False
BRK,26.4,11.0,9.0,0.55,10,10,102.3,102.3,0.0,92.3,0.324,0.17600000000000002,0.503,0.457,13.0,27.5,0.235,0.47200000000000003,14.5,72.3,0.27699999999999997,False
DET,29.3,4.0,6.0,0.4,5,5,96.1,96.5,-0.4,86.4,0.304,0.307,0.49700000000000005,0.45399999999999996,14.9,22.9,0.22,0.446,15.5,72.1,0.20199999999999999,False
UTA,30.0,1.0,3.0,0.25,2,2,98.6,99.8,-1.2,89.2,0.34,0.145,0.48200000000000004,0.43700000000000006,15.3,33.7,0.233,0.436,16.6,69.1,0.336,False
TOR,29.9,2.0,3.0,0.4,2,3,97.8,101.1,-3.3,85.7,0.267,0.13699999999999998,0.486,0.444,15.6,32.1,0.19699999999999998,0.46799999999999997,15.4,74.3,0.281,False
ORL,28.5,1.0,3.0,0.25,1,3,101.2,106.6,-5.4,88.1,0.395,0.21,0.509,0.451,11.5,20.8,0.293,0.445,12.8,65.9,0.31,False
POR,29.2,0.0,3.0,0.0,1,2,99.3,105.1,-5.8,92.0,0.337,0.22,0.485,0.423,13.5,26.9,0.268,0.48700000000000004,13.0,77.4,0.327,False
PHI,29.8,2.0,3.0,0.4,1,4,102.1,112.2,-10.1,87.2,0.435,0.177,0.508,0.44,14.1,29.9,0.32899999999999996,0.541,13.8,76.5,0.184,False
MIN,26.5,0.0,3.0,0.0,1,2,105.5,116.6,-11.1,96.6,0.428,0.156,0.53,0.475,14.0,30.3,0.309,0.521,9.9,80.8,0.27699999999999997,False
OKC,27.0,2.0,3.0,0.4,1,4,101.7,113.8,-12.1,84.7,0.239,0.153,0.49,0.46,10.8,26.6,0.163,0.503,10.0,72.7,0.263,False
