Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Made_Playoffs
PHO,27.9,6.0,5.0,0.545,7,4,110.6,105.3,5.3,94.1,0.298,0.22899999999999998,0.562,0.52,13.0,23.4,0.23199999999999998,0.49200000000000005,13.8,71.6,0.213,False
SAS,30.8,16.0,4.0,0.8,13,7,107.6,103.1,4.5,88.9,0.317,0.256,0.547,0.508,13.7,26.4,0.22899999999999998,0.47100000000000003,13.9,72.4,0.228,False
DET,29.5,10.0,6.0,0.625,10,6,105.2,101.8,3.4,85.8,0.34600000000000003,0.21899999999999997,0.522,0.46799999999999997,13.2,28.7,0.266,0.462,14.3,70.9,0.275,False
CLE,25.8,12.0,8.0,0.6,12,8,102.5,100.0,2.5,85.7,0.341,0.217,0.506,0.456,12.9,28.6,0.252,0.46399999999999997,13.8,76.6,0.233,False
BRK,28.3,6.0,6.0,0.5,7,5,101.7,99.6,2.1,88.7,0.318,0.284,0.539,0.49700000000000005,16.1,21.8,0.23600000000000002,0.46299999999999997,14.1,76.4,0.257,False
GSW,25.3,5.0,6.0,0.455,6,5,110.9,109.1,1.8,95.3,0.376,0.382,0.563,0.518,13.6,25.5,0.27699999999999997,0.493,16.9,63.9,0.307,False
CHI,26.1,6.0,4.0,0.6,5,5,103.4,102.1,1.3,89.4,0.39,0.22,0.522,0.469,14.7,28.5,0.284,0.475,13.8,73.0,0.225,False
UTA,26.1,9.0,8.0,0.529,9,8,106.9,105.9,1.0,91.0,0.349,0.159,0.534,0.486,14.9,31.4,0.261,0.498,14.5,76.1,0.294,False
HOU,27.7,3.0,4.0,0.429,3,4,99.6,103.2,-3.6,87.6,0.363,0.308,0.52,0.46,15.0,24.3,0.28600000000000003,0.467,11.8,75.0,0.19399999999999998,False
TOR,25.5,2.0,4.0,0.33299999999999996,2,4,101.0,106.9,-5.9,89.9,0.34700000000000003,0.19699999999999998,0.536,0.478,14.8,19.0,0.27899999999999997,0.521,15.7,76.3,0.235,False
DEN,26.8,1.0,4.0,0.2,1,4,100.7,107.5,-6.8,87.6,0.264,0.18100000000000002,0.498,0.452,14.6,31.6,0.207,0.493,11.9,71.7,0.149,False
DAL,27.6,2.0,4.0,0.33299999999999996,2,4,105.7,112.8,-7.1,93.2,0.371,0.27399999999999997,0.524,0.466,14.8,31.9,0.287,0.53,14.2,71.9,0.272,False
WAS,27.8,0.0,4.0,0.0,1,3,103.5,113.4,-9.9,88.4,0.262,0.247,0.494,0.45,8.6,21.9,0.20199999999999999,0.49,12.8,67.7,0.326,False
ORL,25.7,0.0,4.0,0.0,1,3,102.9,113.5,-10.6,85.5,0.39399999999999996,0.1,0.519,0.495,14.8,28.3,0.228,0.495,10.7,71.2,0.33,False
LAL,25.6,1.0,4.0,0.2,1,4,103.8,114.8,-11.0,94.4,0.251,0.23,0.513,0.479,13.7,31.4,0.18100000000000002,0.528,11.5,74.9,0.225,False
MIA,29.9,0.0,4.0,0.0,1,3,96.9,108.9,-12.0,91.6,0.365,0.22699999999999998,0.512,0.48200000000000004,14.5,19.6,0.22399999999999998,0.505,13.9,74.3,0.257,False
