Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
CHI,12,244.2,34.2,84.0,0.407,7.6,22.6,0.336,26.6,61.4,0.433,16.7,21.8,0.766,11.7,31.9,43.6,19.7,8.1,7.1,12.5,20.3,92.6,False
CLE,20,243.8,34.9,83.1,0.419,7.9,25.5,0.31,27.0,57.6,0.468,17.4,22.9,0.761,10.1,31.4,41.5,20.2,6.8,4.7,11.7,22.5,95.0,False
GSW,21,243.6,34.8,83.4,0.417,6.8,22.4,0.304,28.0,61.0,0.459,19.0,26.1,0.73,11.1,32.6,43.7,19.9,8.5,4.7,14.3,20.9,95.5,False
MEM,11,240.0,35.1,80.5,0.436,10.4,27.8,0.373,24.7,52.6,0.47,15.5,19.9,0.776,9.7,33.9,43.6,20.2,5.8,5.6,14.6,20.4,96.0,False
WAS,10,242.5,36.8,87.1,0.423,8.2,25.8,0.318,28.6,61.3,0.467,15.4,20.2,0.762,10.5,31.7,42.2,22.9,8.0,4.8,13.3,21.9,97.2,False
ATL,16,243.1,36.6,85.0,0.43,9.4,25.2,0.375,27.1,59.8,0.454,15.6,22.1,0.708,11.5,35.6,47.1,21.3,6.8,4.3,14.0,19.2,98.2,False
POR,5,240.0,37.2,85.0,0.438,4.6,12.4,0.371,32.6,72.6,0.449,21.6,25.4,0.85,9.6,35.0,44.6,18.8,7.2,6.2,8.2,20.0,100.6,False
MIL,6,248.3,36.5,83.5,0.437,11.2,28.0,0.399,25.3,55.5,0.456,16.7,23.0,0.725,11.3,38.7,50.0,26.2,7.7,7.0,17.5,18.8,100.8,False
BRK,6,244.2,38.3,87.0,0.441,11.2,31.5,0.354,27.2,55.5,0.489,14.0,18.0,0.778,10.0,35.7,45.7,25.7,10.0,4.7,13.3,18.5,101.8,False
SAS,7,243.6,38.7,83.0,0.466,7.0,21.0,0.333,31.7,62.0,0.512,18.6,28.7,0.647,9.4,35.4,44.9,21.0,7.4,6.1,12.4,20.9,103.0,False
BOS,4,240.0,35.0,80.0,0.438,9.8,30.5,0.32,25.3,49.5,0.51,24.3,31.5,0.77,12.0,35.0,47.0,16.8,7.8,7.8,12.5,23.3,104.0,False
LAC,14,241.8,37.6,84.4,0.446,10.0,28.1,0.355,27.6,56.3,0.491,21.1,32.4,0.653,11.6,35.6,47.3,23.1,7.2,4.9,14.1,25.1,106.4,False
NOP,4,246.3,39.3,87.5,0.449,11.8,31.0,0.379,27.5,56.5,0.487,18.5,26.5,0.698,14.0,32.5,46.5,25.8,7.3,6.3,12.3,19.8,108.8,False
TOR,4,246.3,39.5,82.0,0.482,10.8,24.3,0.443,28.8,57.8,0.498,20.5,28.5,0.719,11.0,37.3,48.3,26.3,6.5,6.5,14.5,20.5,110.3,False
HOU,17,240.0,41.1,89.4,0.46,9.6,28.6,0.337,31.5,60.8,0.518,18.8,26.6,0.704,12.0,34.8,46.8,24.1,8.6,5.4,14.4,27.2,110.6,False
DAL,5,240.0,40.0,85.8,0.466,9.2,26.2,0.351,30.8,59.6,0.517,25.0,36.8,0.679,11.2,34.8,46.0,23.4,7.8,5.2,14.4,24.6,114.2,False
